"workerid","rt","tested_on","response","check_index","property","correct","condition"
0,68081,0,0,0,"can see at night",1,"memory_check"
0,68081,0,0,1,"eat plants",1,"memory_check"
0,68081,1,1,2,"capture other animals&quotechar territory",1,"memory_check"
0,68081,1,1,3,"fish in the Hudson River",1,"memory_check"
0,68081,0,0,4,"have gold spots",1,"memory_check"
0,68081,1,1,5,"attack hikers",1,"memory_check"
0,68081,1,1,6,"get cancer",1,"memory_check"
0,68081,1,1,7,"sleep during the day",1,"memory_check"
0,68081,0,0,8,"have long legs",1,"memory_check"
0,68081,0,0,9,"have infected scales",1,"memory_check"
1,16792,1,1,0,"know how to ride bicycles",1,"memory_check"
1,16792,0,0,1,"have long legs",1,"memory_check"
1,16792,0,0,2,"eat plants",1,"memory_check"
1,16792,0,0,3,"can see at night",1,"memory_check"
1,16792,1,1,4,"ride the subway",1,"memory_check"
1,16792,0,0,5,"have infected scales",1,"memory_check"
1,16792,1,1,6,"perform in the circus",1,"memory_check"
1,16792,1,1,7,"chase their tails",1,"memory_check"
1,16792,0,0,8,"have gold spots",1,"memory_check"
1,16792,1,1,9,"lay eggs in other birds&quotechar nests",1,"memory_check"
2,16936,0,0,0,"can see at night",1,"memory_check"
2,16936,0,0,1,"have infected scales",1,"memory_check"
2,16936,1,1,2,"live to be twenty years old",1,"memory_check"
2,16936,1,1,3,"eat candy wrappers",1,"memory_check"
2,16936,0,1,4,"eat plants",0,"memory_check"
2,16936,0,0,5,"have gold spots",1,"memory_check"
2,16936,1,1,6,"have seizures",1,"memory_check"
2,16936,0,0,7,"have long legs",1,"memory_check"
2,16936,1,1,8,"play with bottlecaps",1,"memory_check"
2,16936,1,1,9,"hunt other animals",1,"memory_check"
3,11433,0,0,0,"have long legs",1,"memory_check"
3,11433,1,1,1,"are afraid of loud noises",1,"memory_check"
3,11433,0,0,2,"have infected scales",1,"memory_check"
3,11433,0,0,3,"eat plants",1,"memory_check"
3,11433,0,0,4,"can see at night",1,"memory_check"
3,11433,0,0,5,"have gold spots",1,"memory_check"
3,11433,1,1,6,"eat cannabis",1,"memory_check"
3,11433,1,1,7,"hunt other animals",1,"memory_check"
3,11433,1,1,8,"have very long wings",1,"memory_check"
3,11433,1,1,9,"use tools",1,"memory_check"
4,15066,0,0,0,"can see at night",1,"memory_check"
4,15066,1,1,1,"drink alcohol left behind by tourists",1,"memory_check"
4,15066,0,0,2,"have infected scales",1,"memory_check"
4,15066,0,0,3,"have gold spots",1,"memory_check"
4,15066,1,1,4,"are afraid of dogs",1,"memory_check"
4,15066,0,0,5,"have long legs",1,"memory_check"
4,15066,1,1,6,"transmit rabies",1,"memory_check"
4,15066,1,1,7,"live to be five hundred years old",1,"memory_check"
4,15066,1,1,8,"have brown fur",1,"memory_check"
4,15066,0,0,9,"eat plants",1,"memory_check"
5,10010,1,1,0,"drink soda",1,"memory_check"
5,10010,1,1,1,"perform in the circus",1,"memory_check"
5,10010,1,1,2,"lose their teeth",1,"memory_check"
5,10010,1,1,3,"lay eggs without needing fertilization",1,"memory_check"
5,10010,0,0,4,"have long legs",1,"memory_check"
5,10010,0,0,5,"eat plants",1,"memory_check"
5,10010,0,0,6,"have gold spots",1,"memory_check"
5,10010,0,0,7,"can see at night",1,"memory_check"
5,10010,1,1,8,"know how to open doors",1,"memory_check"
5,10010,0,0,9,"have infected scales",1,"memory_check"
6,13270,0,0,0,"have long legs",1,"memory_check"
6,13270,0,0,1,"have gold spots",1,"memory_check"
6,13270,1,1,2,"carry out premeditated murder",1,"memory_check"
6,13270,1,1,3,"transmit rabies",1,"memory_check"
6,13270,0,1,4,"can see at night",0,"memory_check"
6,13270,0,0,5,"have infected scales",1,"memory_check"
6,13270,1,1,6,"sleep during the day",1,"memory_check"
6,13270,1,1,7,"are afraid of loud noises",1,"memory_check"
6,13270,1,1,8,"drink alcohol left behind by tourists",1,"memory_check"
6,13270,0,0,9,"eat plants",1,"memory_check"
7,7910,1,1,0,"live in zoos",1,"memory_check"
7,7910,0,0,1,"have gold spots",1,"memory_check"
7,7910,0,0,2,"have infected scales",1,"memory_check"
7,7910,1,1,3,"have spots",1,"memory_check"
7,7910,0,0,4,"can see at night",1,"memory_check"
7,7910,1,1,5,"mourn their dead",1,"memory_check"
7,7910,0,0,6,"have long legs",1,"memory_check"
7,7910,0,0,7,"eat plants",1,"memory_check"
7,7910,1,1,8,"know when earthquakes are about to happen",1,"memory_check"
7,7910,1,1,9,"eat cannabis",1,"memory_check"
8,11512,0,0,0,"have gold spots",1,"memory_check"
8,11512,1,1,1,"know when earthquakes are about to happen",1,"memory_check"
8,11512,0,0,2,"eat plants",1,"memory_check"
8,11512,0,0,3,"have infected scales",1,"memory_check"
8,11512,0,0,4,"have long legs",1,"memory_check"
8,11512,1,1,5,"attract mates by secreting pheromones",1,"memory_check"
8,11512,0,0,6,"can see at night",1,"memory_check"
8,11512,1,1,7,"transmit HIV",1,"memory_check"
8,11512,1,1,8,"experience empathy",1,"memory_check"
8,11512,1,1,9,"live to be five hundred years old",1,"memory_check"
9,12904,0,0,0,"have long legs",1,"memory_check"
9,12904,0,0,1,"have infected scales",1,"memory_check"
9,12904,1,1,2,"mourn their dead",1,"memory_check"
9,12904,1,1,3,"develop phobias",1,"memory_check"
9,12904,1,1,4,"develop back problems",1,"memory_check"
9,12904,1,1,5,"do handstands to scare off predators",1,"memory_check"
9,12904,0,0,6,"have gold spots",1,"memory_check"
9,12904,0,0,7,"eat plants",1,"memory_check"
9,12904,1,1,8,"get cancer",1,"memory_check"
9,12904,0,0,9,"can see at night",1,"memory_check"
10,15653,1,1,0,"attract mates by secreting pheromones",1,"memory_check"
10,15653,0,0,1,"have long legs",1,"memory_check"
10,15653,0,0,2,"have infected scales",1,"memory_check"
10,15653,1,1,3,"live to be a hundred years old",1,"memory_check"
10,15653,0,0,4,"have gold spots",1,"memory_check"
10,15653,1,1,5,"eat garbage",1,"memory_check"
10,15653,0,0,6,"can see at night",1,"memory_check"
10,15653,1,1,7,"live in high-rise buildings",1,"memory_check"
10,15653,1,1,8,"develop phobias",1,"memory_check"
10,15653,0,0,9,"eat plants",1,"memory_check"
11,15096,1,1,0,"carry Lyme disease",1,"memory_check"
11,15096,1,1,1,"capture other animals&quotechar territory",1,"memory_check"
11,15096,0,0,2,"can see at night",1,"memory_check"
11,15096,0,0,3,"eat plants",1,"memory_check"
11,15096,1,1,4,"get cancer",1,"memory_check"
11,15096,0,0,5,"have gold spots",1,"memory_check"
11,15096,1,1,6,"fly into building windows",1,"memory_check"
11,15096,1,1,7,"cannibalize each other",1,"memory_check"
11,15096,0,0,8,"have long legs",1,"memory_check"
11,15096,0,0,9,"have infected scales",1,"memory_check"
12,10086,1,1,0,"have seizures",1,"memory_check"
12,10086,1,1,1,"are afraid of dogs",1,"memory_check"
12,10086,0,0,2,"have infected scales",1,"memory_check"
12,10086,0,0,3,"have long legs",1,"memory_check"
12,10086,0,0,4,"can see at night",1,"memory_check"
12,10086,0,0,5,"eat plants",1,"memory_check"
12,10086,1,1,6,"have personalities",1,"memory_check"
12,10086,0,0,7,"have gold spots",1,"memory_check"
12,10086,1,1,8,"fish in the Hudson River",1,"memory_check"
12,10086,1,1,9,"lay eggs in other birds&quotechar nests",1,"memory_check"
13,74844,0,0,0,"can see at night",1,"memory_check"
13,74844,0,0,1,"eat plants",1,"memory_check"
13,74844,0,0,2,"have gold spots",1,"memory_check"
13,74844,0,0,3,"have long legs",1,"memory_check"
13,74844,1,1,4,"eat candy wrappers",1,"memory_check"
13,74844,1,1,5,"lay eggs without needing fertilization",1,"memory_check"
13,74844,0,0,6,"have infected scales",1,"memory_check"
13,74844,1,1,7,"get dandruff",1,"memory_check"
13,74844,1,1,8,"live in urban areas",1,"memory_check"
13,74844,1,1,9,"get addicted to nicotine",1,"memory_check"
14,11134,0,0,0,"can see at night",1,"memory_check"
14,11134,1,1,1,"fish in the Hudson River",1,"memory_check"
14,11134,0,0,2,"have infected scales",1,"memory_check"
14,11134,0,0,3,"have long legs",1,"memory_check"
14,11134,1,1,4,"live in high-rise buildings",1,"memory_check"
14,11134,1,1,5,"drink soda",1,"memory_check"
14,11134,0,0,6,"eat plants",1,"memory_check"
14,11134,1,1,7,"get dandruff",1,"memory_check"
14,11134,0,0,8,"have gold spots",1,"memory_check"
14,11134,1,1,9,"do handstands to scare off predators",1,"memory_check"
15,22359,1,1,0,"torture other animals",1,"memory_check"
15,22359,1,1,1,"are intelligent",1,"memory_check"
15,22359,0,0,2,"have long legs",1,"memory_check"
15,22359,1,1,3,"eat grass",1,"memory_check"
15,22359,1,1,4,"lay eggs in other birds&quotechar nests",1,"memory_check"
15,22359,0,0,5,"can see at night",1,"memory_check"
15,22359,1,1,6,"feed on the carcasses of dead animals",1,"memory_check"
15,22359,0,0,7,"have infected scales",1,"memory_check"
15,22359,0,0,8,"have gold spots",1,"memory_check"
15,22359,0,0,9,"eat plants",1,"memory_check"
16,9577,0,0,0,"have gold spots",1,"memory_check"
16,9577,1,1,1,"get erections",1,"memory_check"
16,9577,0,0,2,"have long legs",1,"memory_check"
16,9577,0,0,3,"can see at night",1,"memory_check"
16,9577,0,0,4,"eat plants",1,"memory_check"
16,9577,1,1,5,"hunt other animals",1,"memory_check"
16,9577,1,1,6,"eat cannabis",1,"memory_check"
16,9577,0,0,7,"have infected scales",1,"memory_check"
16,9577,1,1,8,"get dandruff",1,"memory_check"
16,9577,1,1,9,"live to be a hundred years old",1,"memory_check"
17,19823,1,1,0,"perform in the circus",1,"memory_check"
17,19823,0,0,1,"have infected scales",1,"memory_check"
17,19823,1,1,2,"capture other animals&quotechar territory",1,"memory_check"
17,19823,0,0,3,"have gold spots",1,"memory_check"
17,19823,1,1,4,"live in urban areas",1,"memory_check"
17,19823,0,0,5,"have long legs",1,"memory_check"
17,19823,0,0,6,"can see at night",1,"memory_check"
17,19823,1,1,7,"carry malaria",1,"memory_check"
17,19823,0,1,8,"eat plants",0,"memory_check"
17,19823,1,1,9,"know how to ride bicycles",1,"memory_check"
18,13585,0,0,0,"have long legs",1,"memory_check"
18,13585,0,0,1,"eat plants",1,"memory_check"
18,13585,1,1,2,"cannibalize each other",1,"memory_check"
18,13585,0,1,3,"have gold spots",0,"memory_check"
18,13585,1,0,4,"are afraid of dogs",0,"memory_check"
18,13585,1,0,5,"lose their teeth",0,"memory_check"
18,13585,0,0,6,"have infected scales",1,"memory_check"
18,13585,0,1,7,"can see at night",0,"memory_check"
18,13585,1,0,8,"live in urban areas",0,"memory_check"
18,13585,1,1,9,"carry malaria",1,"memory_check"
19,13359,1,1,0,"eat insects",1,"memory_check"
19,13359,1,1,1,"carry Lyme disease",1,"memory_check"
19,13359,0,0,2,"have long legs",1,"memory_check"
19,13359,0,0,3,"have infected scales",1,"memory_check"
19,13359,0,0,4,"have gold spots",1,"memory_check"
19,13359,1,1,5,"have an exquisite sense of smell",1,"memory_check"
19,13359,0,0,6,"can see at night",1,"memory_check"
19,13359,1,1,7,"develop phobias",1,"memory_check"
19,13359,1,1,8,"swim in shallow pools",1,"memory_check"
19,13359,0,0,9,"eat plants",1,"memory_check"
20,23183,0,0,0,"have gold spots",1,"memory_check"
20,23183,0,0,1,"can see at night",1,"memory_check"
20,23183,1,1,2,"go bald",1,"memory_check"
20,23183,0,0,3,"eat plants",1,"memory_check"
20,23183,1,1,4,"feed on the carcasses of dead animals",1,"memory_check"
20,23183,1,1,5,"live to be five hundred years old",1,"memory_check"
20,23183,0,0,6,"have long legs",1,"memory_check"
20,23183,1,1,7,"live in trees",1,"memory_check"
20,23183,0,0,8,"have infected scales",1,"memory_check"
20,23183,1,1,9,"get in fights with other animals",1,"memory_check"
21,12543,0,0,0,"have infected scales",1,"memory_check"
21,12543,0,0,1,"eat plants",1,"memory_check"
21,12543,0,0,2,"have gold spots",1,"memory_check"
21,12543,1,1,3,"have dozens of sexual partners",1,"memory_check"
21,12543,0,0,4,"can see at night",1,"memory_check"
21,12543,1,1,5,"pound their chests to display dominance",1,"memory_check"
21,12543,1,1,6,"live in urban areas",1,"memory_check"
21,12543,0,0,7,"have long legs",1,"memory_check"
21,12543,1,1,8,"eat insects",1,"memory_check"
21,12543,1,1,9,"fly into building windows",1,"memory_check"
22,19745,1,1,0,"transmit HIV",1,"memory_check"
22,19745,0,0,1,"can see at night",1,"memory_check"
22,19745,1,1,2,"know how to open doors",1,"memory_check"
22,19745,1,1,3,"swim in shallow pools",1,"memory_check"
22,19745,0,0,4,"have long legs",1,"memory_check"
22,19745,0,0,5,"have gold spots",1,"memory_check"
22,19745,1,1,6,"get erections",1,"memory_check"
22,19745,0,0,7,"have infected scales",1,"memory_check"
22,19745,1,1,8,"know how to ride bicycles",1,"memory_check"
22,19745,0,1,9,"eat plants",0,"memory_check"
23,13754,0,0,0,"have gold spots",1,"memory_check"
23,13754,1,1,1,"carry Lyme disease",1,"memory_check"
23,13754,1,1,2,"get in fights with other animals",1,"memory_check"
23,13754,1,1,3,"live in urban areas",1,"memory_check"
23,13754,1,1,4,"live in the hulls of sea vessels",1,"memory_check"
23,13754,0,0,5,"eat plants",1,"memory_check"
23,13754,0,0,6,"have infected scales",1,"memory_check"
23,13754,1,1,7,"eat candy wrappers",1,"memory_check"
23,13754,0,0,8,"can see at night",1,"memory_check"
23,13754,0,0,9,"have long legs",1,"memory_check"
24,15710,0,0,0,"have infected scales",1,"memory_check"
24,15710,1,1,1,"fish in the Hudson River",1,"memory_check"
24,15710,1,1,2,"live in urban areas",1,"memory_check"
24,15710,1,1,3,"perform in the circus",1,"memory_check"
24,15710,0,0,4,"have gold spots",1,"memory_check"
24,15710,1,1,5,"drink soda",1,"memory_check"
24,15710,0,0,6,"have long legs",1,"memory_check"
24,15710,0,0,7,"eat plants",1,"memory_check"
24,15710,1,1,8,"know how to open doors",1,"memory_check"
24,15710,0,0,9,"can see at night",1,"memory_check"
25,15220,1,1,0,"attack hikers",1,"memory_check"
25,15220,1,1,1,"ride the subway",1,"memory_check"
25,15220,1,1,2,"know how to ride bicycles",1,"memory_check"
25,15220,1,1,3,"attract mates by secreting pheromones",1,"memory_check"
25,15220,0,0,4,"eat plants",1,"memory_check"
25,15220,0,0,5,"have long legs",1,"memory_check"
25,15220,0,0,6,"have infected scales",1,"memory_check"
25,15220,1,1,7,"carry Lyme disease",1,"memory_check"
25,15220,0,0,8,"can see at night",1,"memory_check"
25,15220,0,0,9,"have gold spots",1,"memory_check"
26,17015,0,0,0,"have long legs",1,"memory_check"
26,17015,0,0,1,"have gold spots",1,"memory_check"
26,17015,1,1,2,"eat grass",1,"memory_check"
26,17015,0,0,3,"can see at night",1,"memory_check"
26,17015,1,1,4,"carry out premeditated murder",1,"memory_check"
26,17015,1,1,5,"get dandruff",1,"memory_check"
26,17015,0,0,6,"eat plants",1,"memory_check"
26,17015,1,0,7,"are intelligent",0,"memory_check"
26,17015,0,0,8,"have infected scales",1,"memory_check"
26,17015,1,1,9,"experience emotions",1,"memory_check"
27,9604,1,1,0,"swim in shallow pools",1,"memory_check"
27,9604,0,0,1,"have infected scales",1,"memory_check"
27,9604,0,0,2,"can see at night",1,"memory_check"
27,9604,0,0,3,"have gold spots",1,"memory_check"
27,9604,0,0,4,"eat plants",1,"memory_check"
27,9604,1,1,5,"have a menstrual cycle",1,"memory_check"
27,9604,1,1,6,"know how to open doors",1,"memory_check"
27,9604,0,0,7,"have long legs",1,"memory_check"
27,9604,1,1,8,"like to cuddle",1,"memory_check"
27,9604,1,1,9,"have dozens of sexual partners",1,"memory_check"
28,20720,0,0,0,"have infected scales",1,"memory_check"
28,20720,1,1,1,"carry out premeditated murder",1,"memory_check"
28,20720,0,0,2,"have gold spots",1,"memory_check"
28,20720,0,0,3,"can see at night",1,"memory_check"
28,20720,1,1,4,"like to cuddle",1,"memory_check"
28,20720,0,0,5,"eat plants",1,"memory_check"
28,20720,0,0,6,"have long legs",1,"memory_check"
28,20720,1,1,7,"know when earthquakes are about to happen",1,"memory_check"
28,20720,1,1,8,"do handstands to scare off predators",1,"memory_check"
28,20720,1,1,9,"live in high-rise buildings",1,"memory_check"
29,17520,1,1,0,"live in trees",1,"memory_check"
29,17520,0,0,1,"have long legs",1,"memory_check"
29,17520,0,0,2,"have gold spots",1,"memory_check"
29,17520,0,0,3,"can see at night",1,"memory_check"
29,17520,1,1,4,"attract mates by secreting pheromones",1,"memory_check"
29,17520,0,0,5,"eat plants",1,"memory_check"
29,17520,1,1,6,"eat garbage",1,"memory_check"
29,17520,1,1,7,"transmit HIV",1,"memory_check"
29,17520,1,1,8,"eat insects",1,"memory_check"
29,17520,0,0,9,"have infected scales",1,"memory_check"
30,14384,1,1,0,"have strange genetic mutations",1,"memory_check"
30,14384,1,1,1,"live to be a hundred years old",1,"memory_check"
30,14384,0,0,2,"can see at night",1,"memory_check"
30,14384,1,1,3,"steal farmers&quotechar crops",1,"memory_check"
30,14384,0,0,4,"have infected scales",1,"memory_check"
30,14384,0,0,5,"have long legs",1,"memory_check"
30,14384,0,0,6,"have gold spots",1,"memory_check"
30,14384,1,1,7,"live in the hulls of sea vessels",1,"memory_check"
30,14384,1,1,8,"get cancer",1,"memory_check"
30,14384,0,0,9,"eat plants",1,"memory_check"
31,17190,0,0,0,"can see at night",1,"memory_check"
31,17190,1,1,1,"use tools",1,"memory_check"
31,17190,1,1,2,"mourn their dead",1,"memory_check"
31,17190,0,0,3,"eat plants",1,"memory_check"
31,17190,0,0,4,"have gold spots",1,"memory_check"
31,17190,1,1,5,"play with bottlecaps",1,"memory_check"
31,17190,0,0,6,"have infected scales",1,"memory_check"
31,17190,0,0,7,"have long legs",1,"memory_check"
31,17190,1,1,8,"cannibalize each other",1,"memory_check"
31,17190,1,1,9,"live to be five hundred years old",1,"memory_check"
32,14376,0,0,0,"have infected scales",1,"memory_check"
32,14376,1,1,1,"carry Lyme disease",1,"memory_check"
32,14376,0,0,2,"have long legs",1,"memory_check"
32,14376,1,1,3,"have dozens of sexual partners",1,"memory_check"
32,14376,1,1,4,"carry out premeditated murder",1,"memory_check"
32,14376,0,0,5,"can see at night",1,"memory_check"
32,14376,0,0,6,"have gold spots",1,"memory_check"
32,14376,1,1,7,"live to be twenty years old",1,"memory_check"
32,14376,0,0,8,"eat plants",1,"memory_check"
32,14376,1,1,9,"live in high-rise buildings",1,"memory_check"
33,8472,0,0,0,"have long legs",1,"memory_check"
33,8472,1,1,1,"fly into building windows",1,"memory_check"
33,8472,1,1,2,"transmit HIV",1,"memory_check"
33,8472,0,0,3,"eat plants",1,"memory_check"
33,8472,1,1,4,"lay eggs without needing fertilization",1,"memory_check"
33,8472,0,0,5,"can see at night",1,"memory_check"
33,8472,0,0,6,"have infected scales",1,"memory_check"
33,8472,0,0,7,"have gold spots",1,"memory_check"
33,8472,1,1,8,"eat human food",1,"memory_check"
33,8472,1,1,9,"use tools",1,"memory_check"
34,14377,0,0,0,"have gold spots",1,"memory_check"
34,14377,1,1,1,"develop phobias",1,"memory_check"
34,14377,0,0,2,"have long legs",1,"memory_check"
34,14377,1,1,3,"cannibalize each other",1,"memory_check"
34,14377,0,0,4,"can see at night",1,"memory_check"
34,14377,1,1,5,"perform in the circus",1,"memory_check"
34,14377,0,0,6,"eat plants",1,"memory_check"
34,14377,1,1,7,"have a menstrual cycle",1,"memory_check"
34,14377,1,1,8,"have spots",1,"memory_check"
34,14377,0,0,9,"have infected scales",1,"memory_check"
35,13875,1,1,0,"live in trees",1,"memory_check"
35,13875,0,0,1,"eat plants",1,"memory_check"
35,13875,0,0,2,"have gold spots",1,"memory_check"
35,13875,0,0,3,"can see at night",1,"memory_check"
35,13875,1,1,4,"drink alcohol left behind by tourists",1,"memory_check"
35,13875,0,0,5,"have long legs",1,"memory_check"
35,13875,0,0,6,"have infected scales",1,"memory_check"
35,13875,1,1,7,"experience emotions",1,"memory_check"
35,13875,1,1,8,"have dozens of sexual partners",1,"memory_check"
35,13875,1,1,9,"perform in the circus",1,"memory_check"
